person_id,gr9_fall_math,gr9_fall_sci,gr9_fall_eng,gr9_fall_hist,gr9_spring_math,gr9_spring_sci,gr9_spring_eng,gr9_spring_hist,gr10_fall_math,gr10_fall_sci,gr10_fall_eng,gr10_fall_hist,gr10_spring_math,gr10_spring_sci,gr10_spring_eng,gr10_spring_hist,gpa9,gpa10
1,1,NA,4,4,4,1,4,NA,1,4,4,1,4,4,4,4,3,3.25
5,1,NA,4,4,4,1,1,4,1,4,4,4,1,0,4,4,2.7142857142857144,2.75
8,NA,1,0,4,4,1,1,1,4,1,NA,1,1,1,4,4,1.7142857142857142,2.2857142857142856
10,NA,4,4,4,NA,4,4,1,4,4,4,4,4,4,4,0,3.5,3.5
11,NA,4,NA,4,0,NA,1,1,1,1,4,0,4,NA,1,1,2,1.7142857142857142
12,0,1,1,1,NA,1,NA,4,4,1,4,0,NA,1,4,NA,1.3333333333333333,2.3333333333333335
13,4,4,NA,NA,1,4,4,1,1,1,NA,4,4,1,4,4,3,2.7142857142857144
14,4,4,NA,4,NA,1,4,NA,0,NA,0,0,4,4,4,4,3.4,2.2857142857142856
15,4,4,4,1,4,1,4,4,1,4,0,4,4,4,4,1,3.25,2.75
16,NA,4,4,1,4,4,4,4,NA,NA,4,NA,4,4,4,4,3.5714285714285716,4
17,1,4,4,4,NA,4,4,1,1,1,1,4,NA,4,4,NA,3.142857142857143,2.5
18,4,1,4,NA,NA,4,4,4,NA,4,4,1,4,4,4,4,3.5,3.5714285714285716
19,4,1,1,1,1,4,1,2,1,0,NA,NA,4,4,1,4,1.875,2.3333333333333335
21,NA,4,0,4,1,0,1,4,4,4,1,4,1,4,4,4,2,3.25
24,4,4,NA,4,4,2,4,4,4,4,4,1,4,4,1,4,3.7142857142857144,3.25
25,4,4,4,4,1,4,0,1,NA,4,4,1,4,4,NA,1,2.75,3
26,2,NA,4,NA,1,NA,4,4,2,1,0,4,1,1,1,4,3,1.75
27,NA,4,0,NA,NA,0,NA,4,1,4,1,4,4,4,0,4,2,2.75
28,4,4,4,NA,4,4,NA,1,4,NA,4,0,NA,4,1,4,3.5,2.8333333333333335
29,0,4,1,NA,4,0,4,4,0,1,1,4,1,4,4,4,2.4285714285714284,2.375
30,4,1,0,1,4,4,4,1,4,4,1,4,4,4,NA,4,2.375,3.5714285714285716
31,1,4,NA,NA,4,4,2,4,1,1,1,0,4,4,NA,4,3.1666666666666665,2.142857142857143
32,4,4,4,4,NA,4,4,4,4,1,1,4,4,4,1,4,4,2.875
33,4,2,4,4,1,2,0,NA,4,4,1,4,4,NA,NA,NA,2.4285714285714284,3.4
38,NA,NA,NA,1,4,4,4,1,4,NA,4,4,1,4,NA,0,2.8,2.8333333333333335
40,NA,4,1,4,4,1,4,4,NA,1,4,1,4,4,4,1,3.142857142857143,2.7142857142857144
42,0,4,4,NA,1,1,1,1,0,4,NA,4,4,1,1,1,1.7142857142857142,2.142857142857143
47,4,1,4,4,4,4,1,4,4,NA,4,NA,1,4,1,4,3.25,3
48,1,1,4,0,NA,4,4,4,4,4,1,4,4,4,4,4,2.5714285714285716,3.625
51,4,0,4,4,4,4,4,1,4,1,1,4,1,1,1,0,3.125,1.625
52,4,1,NA,1,4,NA,4,1,4,NA,1,1,1,NA,4,1,2.5,2
53,4,1,NA,4,NA,1,NA,1,NA,4,4,NA,4,0,0,1,2.2,2.1666666666666665
54,1,4,4,4,4,4,4,0,4,4,4,4,1,2,1,4,3.125,3
57,4,1,NA,NA,4,0,NA,NA,4,4,NA,4,NA,NA,NA,1,2.25,3.25
58,4,4,4,NA,1,4,1,1,1,NA,1,NA,4,1,1,NA,2.7142857142857144,1.6
59,4,1,4,4,0,4,4,NA,NA,4,1,4,4,1,4,1,3,2.7142857142857144
63,4,1,NA,1,4,NA,4,1,1,1,4,4,1,NA,1,4,2.5,2.2857142857142856
64,1,4,4,1,0,1,4,4,1,1,2,1,1,1,NA,NA,2.375,1.1666666666666667
66,4,4,4,NA,4,4,4,4,4,4,4,4,NA,4,1,1,4,3.142857142857143
67,1,4,4,NA,4,0,4,4,4,4,NA,0,4,4,NA,4,3,3.3333333333333335
69,4,4,4,NA,4,1,NA,4,NA,NA,4,1,4,4,4,1,3.5,3
70,4,1,4,4,NA,1,4,4,1,4,4,4,4,NA,1,4,3.142857142857143,3.142857142857143
